row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,year,month,month_name,quarter,profit_margin,shipping_days
30,US-2023-162775,13-01-2023,15-01-2023,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0,34.35,2023,1,January,Q1,0.06,2
31,US-2023-157147,13-01-2023,18-01-2023,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0,238.65,2023,1,January,Q1,0.18,5
32,US-2023-162775,13-01-2023,15-01-2023,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0,258.7,2023,1,January,Q1,0.4,2
33,US-2023-149524,14-01-2023,15-01-2023,First Class,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,0.5,-53.29,2023,1,January,Q1,-0.86,1
34,US-2023-103366,15-01-2023,17-01-2023,First Class,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,0,65.98,2023,1,January,Q1,0.44,2
35,US-2023-115791,16-01-2023,18-01-2023,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.1,6,0.2,28.6,2023,1,January,Q1,0.225,2
36,US-2023-115791,16-01-2023,18-01-2023,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,18.59,2,0.7,-13.63,2023,1,January,Q1,-0.733333333,2
37,US-2023-115791,16-01-2023,18-01-2023,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.07,3,0.2,10.15,2023,1,January,Q1,0.3375,2
38,US-2023-115791,16-01-2023,18-01-2023,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.2,3,0.4,-31.05,2023,1,January,Q1,-0.25,2
39,US-2023-123477,18-01-2023,21-01-2023,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.86,4,0.2,6.49,2023,1,January,Q1,0.1,3
40,US-2023-146591,19-01-2023,20-01-2023,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,-320.6,2023,1,January,Q1,-1.766666667,1
41,US-2023-146591,19-01-2023,20-01-2023,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.72,2023,1,January,Q1,-0.733333333,1
42,US-2023-146591,19-01-2023,20-01-2023,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,36.69,2023,1,January,Q1,0.3375,1
43,US-2023-146591,19-01-2023,20-01-2023,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.06,4,0.2,19.62,2023,1,January,Q1,0.35,1
44,US-2023-147627,20-01-2023,26-01-2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,0,224.27,2023,1,January,Q1,0.21,6
45,US-2023-167927,20-01-2023,26-01-2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,0,4.86,2023,1,January,Q1,0.33,6
46,US-2023-167927,20-01-2023,26-01-2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0,30.02,2023,1,January,Q1,0.11,6
47,US-2023-147627,20-01-2023,26-01-2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,0,11.58,2023,1,January,Q1,0.3,6
48,US-2023-148614,20-01-2023,25-01-2023,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,0,5.79,2023,1,January,Q1,0.3,5
49,US-2023-167927,20-01-2023,26-01-2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.72,4,0.1,93.58,2023,1,January,Q1,0.377777778,6
50,US-2023-147627,20-01-2023,26-01-2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,22.96,7,0,6.66,2023,1,January,Q1,0.29,6
51,US-2023-147627,20-01-2023,26-01-2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,3,0,1.79,2023,1,January,Q1,0.27,6
52,US-2023-167927,20-01-2023,26-01-2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0,12.74,2023,1,January,Q1,0.29,6
53,US-2023-167927,20-01-2023,26-01-2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5,0,8.95,2023,1,January,Q1,0.47,6
54,US-2023-147774,20-01-2023,26-01-2023,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.19,1,0.7,-51.52,2023,1,January,Q1,-0.766666667,6
55,US-2023-167927,20-01-2023,26-01-2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.7,5,0,13.37,2023,1,January,Q1,0.45,6
56,US-2023-147627,20-01-2023,26-01-2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,23.34,3,0,10.97,2023,1,January,Q1,0.47,6
57,US-2023-148614,20-01-2023,25-01-2023,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,0,9.29,2023,1,January,Q1,0.48,5
58,US-2023-167927,20-01-2023,26-01-2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,0,4.05,2023,1,January,Q1,0.29,6
59,US-2023-167927,20-01-2023,26-01-2023,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,0,15.98,2023,1,January,Q1,0.24,6
60,US-2023-147627,20-01-2023,26-01-2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93,7,0,181.98,2023,1,January,Q1,0.26,6
61,US-2023-110422,21-01-2023,23-01-2023,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,Ultra Door Pull Handle,25.25,3,0.2,4.1,2023,1,January,Q1,0.1625,2
62,CA-2023-115238,21-01-2023,24-01-2023,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10001025,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",24.3,5,0,10.45,2023,1,January,Q1,0.430041152,3
63,CA-2023-115238,21-01-2023,24-01-2023,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",9.48,1,0,3.79,2023,1,January,Q1,0.39978903,3
64,CA-2023-115238,21-01-2023,24-01-2023,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",31.4,5,0,13.19,2023,1,January,Q1,0.420063694,3
65,CA-2023-115238,21-01-2023,24-01-2023,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,OFF-PA-10002689,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),6.48,1,0,3.11,2023,1,January,Q1,0.479938272,3
66,CA-2023-115238,21-01-2023,24-01-2023,Standard Class,JW-15220,Jane Waco,Corporate,Canada,Toronto,Ontario,M7A,East,TEC-PH-10001300,Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",209.5,10,0,58.66,2023,1,January,Q1,0.28,3
67,US-2023-146997,23-01-2023,27-01-2023,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,Lafayette,Indiana,47905,Central,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0,0,2023,1,January,Q1,0,4
68,US-2023-102645,23-01-2023,28-01-2023,Standard Class,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,89115,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.08,6,0,19.24,2023,1,January,Q1,0.48,5
69,US-2023-167997,26-01-2023,29-01-2023,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,0,39.75,2023,1,January,Q1,0.28,3
70,US-2023-155502,26-01-2023,31-01-2023,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,0,4.47,2023,1,January,Q1,0.36,5
71,US-2023-155502,26-01-2023,31-01-2023,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,0,30.78,2023,1,January,Q1,0.49,5
72,US-2023-167997,26-01-2023,29-01-2023,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0,5.02,2023,1,January,Q1,0.47,3
73,US-2023-155502,26-01-2023,31-01-2023,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2,0,8.34,2023,1,January,Q1,0.5,5
74,US-2023-155502,26-01-2023,31-01-2023,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,3,0,9.33,2023,1,January,Q1,0.48,5
75,US-2023-155502,26-01-2023,31-01-2023,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,8,0,0,2023,1,January,Q1,0,5
76,US-2023-155502,26-01-2023,31-01-2023,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,187.98,2,0,52.63,2023,1,January,Q1,0.28,5
77,US-2023-155502,26-01-2023,31-01-2023,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155.35,13,0,0,2023,1,February,Q1,0,5
78,US-2023-117163,27-01-2023,02-02-2023,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333,3,0.2,-16.65,2023,1,February,Q1,-0.05,6
79,US-2023-117163,27-01-2023,02-02-2023,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4,0,12.03,2023,1,February,Q1,0.33,6
80,US-2023-117163,27-01-2023,02-02-2023,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1,0,14.31,2023,1,February,Q1,0.25,6
81,US-2023-100328,28-01-2023,03-02-2023,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.93,1,0.2,1.33,2023,1,February,Q1,0.3375,6
82,US-2023-134103,30-01-2023,04-02-2023,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,10.56,2,0,4.75,2023,1,February,Q1,0.45,5
83,US-2023-134103,30-01-2023,04-02-2023,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,0,6.9,2023,1,February,Q1,0.03,5
84,US-2023-115161,31-01-2023,02-02-2023,First Class,LC-17050,Liz Carlisle,Consumer,United States,Mission Viejo,California,92691,West,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.67,2,0.15,3.42,2023,1,February,Q1,0.011764706,2
85,US-2023-140795,01-02-2023,03-02-2023,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,0,206.32,2023,2,February,Q1,0.44,2
86,US-2023-123400,02-02-2023,09-02-2023,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,18.34,2,0.7,-12.22,2023,2,February,Q1,-0.666666667,7
87,US-2023-139857,02-02-2023,06-02-2023,Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,San Diego,California,92037,West,OFF-FA-10001843,Office Supplies,Fasteners,Staples,12.35,5,0,5.8,2023,2,February,Q1,0.47,4
88,US-2023-123400,02-02-2023,09-02-2023,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,0.2,13.57,2023,2,February,Q1,0.075,7
89,US-2023-111059,03-02-2023,06-02-2023,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,13.27,3,0.2,4.31,2023,2,February,Q1,0.325,3
90,US-2023-111059,03-02-2023,06-02-2023,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,0.2,27.25,2023,2,February,Q1,0.325,3
91,US-2023-104808,04-02-2023,08-02-2023,Second Class,MH-17440,Mark Haberlin,Corporate,United States,Escondido,California,92025,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.25,2,0.2,6.04,2023,2,February,Q1,0.35,4
92,US-2023-107181,04-02-2023,08-02-2023,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.9,3,0.2,29.01,2023,2,February,Q1,0.35,4
93,US-2023-107181,04-02-2023,08-02-2023,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-PA-10000350,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4,0,16.09,2023,2,February,Q1,0.47,4
94,US-2023-108182,06-02-2023,10-02-2023,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Romeoville,Illinois,60441,Central,OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.95,2,0.8,-14.77,2023,2,February,Q1,-1.65,4
95,US-2023-131905,06-02-2023,09-02-2023,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,OFF-LA-10002787,Office Supplies,Labels,Avery 480,15,4,0,7.2,2023,2,February,Q1,0.48,3
96,US-2023-131905,06-02-2023,09-02-2023,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10001615,Technology,Phones,AT&T CL82213,144.95,5,0,42.04,2023,2,February,Q1,0.29,3
97,US-2023-131905,06-02-2023,09-02-2023,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,161.61,1,0,42.02,2023,2,February,Q1,0.26,3
